,Unnamed: 0,Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
35,35,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD GIGABYTE Z590 AORUS ULTRA, WIFI, LGA 1200", 2 ,"(S/ 1.380,67)",https://www.sercoplus.com/socket-1200-/12597-mainboard-gigabyte-z590-aorus-ultra-wif.html
36,36,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK H510M-HDV/M.2, LGA 1200", 0 ,"(S/ 300,80)",https://www.sercoplus.com/socket-1200-/13449-mainboard-asrock-h510m-hdv-m-2-lga-1200.html
37,37,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK Z590 STEEL LEGEND, LGA 1200", 14 ,"(S/ 900,14)",https://www.sercoplus.com/socket-1200-/12335-mainboard-asrock-z590-steel-legend-lga.html
38,38,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD MSI MAG B560 TOMAHAWK WIFI, LGA 1200", 11 ,"(S/ 744,48)",https://www.sercoplus.com/socket-1200-/12610-mainboard-msi-mag-b560-tomahawk-wifi-lg.html
39,39,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD GIGABYTE Z590 VISION G, LGA 1200", 9 ,"(S/ 1.042,27)",https://www.sercoplus.com/socket-1200-/13471-mainboard-gigabyte-z590-vision-g-lga-12.html
0,0,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS ROG MAXIMUS Z690 HERO, DDR5, WIFI, LGA 1700", 0 ,"(S/ 2.692,16)",https://www.sercoplus.com/socket-1700/13220-mainboard-asus-rog-maximus-z690-hero-dd.html
1,1,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD MSI MAG B660M MORTAR DDR4, LGA 1700", 7 ,"(S/ 709,14)",https://www.sercoplus.com/socket-1700/13753-mainboard-msi-mag-b660m-mortar-ddr4-lga.html
2,2,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARDA MSI PRO Z690-A, DDR5 LGA 1700", 0 ,"(S/ 1.052,80)",https://www.sercoplus.com/socket-1700/13263-mainboarda-msi-pro-z690-a-ddr5-lga-1700.html
3,3,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD MSI MAG B660 TOMAHAWK WIFI, DDR5, LGA 1700", 2 ,"(S/ 900,90)",https://www.sercoplus.com/socket-1700/13757-mainboard-msi-mag-b660-tomahawk-wifi-dd.html
4,4,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS PRIME Z690-P WIFI D4, LGA 1700", 13 ,"(S/ 1.037,76)",https://www.sercoplus.com/socket-1700/13345-mainboard-asus-prime-z690-p-wifi-d4-lga.html
5,5,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD MSI MAG B660M MORTAR, DDR5, LGA 1700", 3 ,"(S/ 723,42)",https://www.sercoplus.com/socket-1700/13758-mainboard-msi-mag-b660m-mortar-ddr5-lg.html
6,6,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS ROG STRIX B660-AGAMING WIFI D4, LGA 1700", 0 ,"(S/ 1.045,28)",https://www.sercoplus.com/socket-1700/13394-mainboard-asus-rog-strix-b660-agaming-wi.html
7,7,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS PRIME H610M-K D4, LGA 170", >20 ,"(S/ 424,50)",https://www.sercoplus.com/socket-1700/13781-mainboard-asus-prime-h610m-k-d4-lga-170.html
8,8,Sercoplus,MB,LGA1700-12,LGA1700,-,MAINBOARD MSI MAG B660M MORTAR WIFI DDR4, 17 ,"(S/ 752,00)",https://www.sercoplus.com/socket-1700/13432-mainboard-msi-mag-b660m-mortar-wifi-ddr4.html
9,9,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD MSI PRO H610M-G DDR4, LGA 1700", 20 ,"(S/ 409,46)",https://www.sercoplus.com/socket-1700/13787-mainboard-msi-pro-h610m-g-ddr4-lga-1700.html
10,10,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASROCK H610M HDV/M.2, LGA 1700", 9 ,"(S/ 413,60)",https://www.sercoplus.com/socket-1700/13433-mainboard-asrock-h610m-hdv-m-2-lga-1700.html
11,11,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS PRIME Z690-A, LGA 1700", 7 ,"(S/ 1.293,44)",https://www.sercoplus.com/socket-1700/13472-mainboard-asus-prime-z690-a-lga-1700.html
12,12,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS ROG MAXIMUS Z690 HERO, DDR5, WIFI, LGA 1700", 0 ,"(S/ 2.692,16)",https://www.sercoplus.com/socket-1700/13220-mainboard-asus-rog-maximus-z690-hero-dd.html
13,13,Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD MSI MAG B660M MORTAR DDR4, LGA 1700", 7 ,"(S/ 709,14)",https://www.sercoplus.com/socket-1700/13753-mainboard-msi-mag-b660m-mortar-ddr4-lga.html
