Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
Sercoplus,MB,AM4,AM4,-,"MAINBOARD ASROCK PRO4 B550, AM4 AMD",6,630.8,https://www.sercoplus.com/socket-amd-am4/13582-mainboard-asrock-pro4-am4-amd.html
Sercoplus,MB,AM4,AM4,-,"MAINBOARD ASUS ROG STRIX B550-F GAMING WIFI II, AM4 AMD",11,1018.4,https://www.sercoplus.com/tarjeta-de-video/13646-mainboard-asus-rog-strix-b550-f-gaming-w.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD ASROCK A320-HDV R4.0 AM4 AMD,8,220.4,https://www.sercoplus.com/socket-amd-am4/11184-mainboard-asrock-a320-hdv-r4-0-am4-amd.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS ROG STRIX X470-F GAMING,8,577.6,https://www.sercoplus.com/socket-amd-am4/8510-mainboard-asus-rog-strix-x470-f-gaming.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD ASROCK X570 STEEL LEGEND AM4 AMD.,11,988.0,https://www.sercoplus.com/socket-amd-am4/11237-mainboard-asrock-x570-steel-legend-am4-a.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD GIGABYTE B450M DS3H AM4 AMD,20,304.0,https://www.sercoplus.com/socket-amd-am4/8534-mainboard-gigabyte-b450m-ds3h-am4-amd.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS PRIME B550M-K AM4 AMD,16,433.2,https://www.sercoplus.com/socket-amd-am4/11268-mainboard-asus-prime-b550m-k-am4-amd.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS PRIME X470-PRO AM4 AMD,5,501.6,https://www.sercoplus.com/socket-amd-am4/8536-mainboard-asus-prime-x470-pro-am4-amd.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS ROG STRIX B550-XE GAMING,9,1444.0,https://www.sercoplus.com/socket-amd-am4/13269-mainboard-asus-rog-strix-b550-xe-gaming.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD MSI MPG X570-A PRO AM4 AMD,20,744.8,https://www.sercoplus.com/socket-amd-am4/10267-mainboard-msi-mpg-x570-a-gaming-pro-carb.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS PRIME X570-P AM4 AMD.,10,695.02,https://www.sercoplus.com/socket-amd-am4/10696-mainboard-asus-prime-x570-p-am4-amd.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD GIGABYTE B550 AORUS PRO AM4 AMD,20,988.0,https://www.sercoplus.com/socket-amd-am4/11333-mainboard-gigabyte-b550-aorus-pro-am4-am.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD ASROCK B450M PRO4-F AM4 AMD,20,326.8,https://www.sercoplus.com/socket-amd-am4/10862-mainboard-asrock-b450-pro4-f-am4-amd-ddr4-sata-usb-3-1-90-mxbab0-a0uayz.html
Sercoplus,MB,AM4,AM4,-,"MAINBOARD GIGABYTE B550 VISION D, WI-FI AM4 AMD",14,1330.0,https://www.sercoplus.com/socket-amd-am4/11334-mainboard-gigabyte-b550-vision-d-wi-fi.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS PRIME B450M-A-II AM4 AMD,10,342.0,https://www.sercoplus.com/socket-amd-am4/11609-mainboard-asus-prime-b450m-a-ii-am4-amd.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD MSI A320M A PRO MAX AM4 AMD,20,177.84,https://www.sercoplus.com/socket-amd-am4/10969-mainboard-msi-a320m-a-pro-max.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD ASROCK B450M PRO4-F AM4 AMD,20,326.8,https://www.sercoplus.com/socket-amd-am4/10862-mainboard-asrock-b450-pro4-f-am4-amd-ddr4-sata-usb-3-1-90-mxbab0-a0uayz.html
Sercoplus,MB,AM4,AM4,-,"MAINBOARD GIGABYTE B550 VISION D, WI-FI AM4 AMD",14,1330.0,https://www.sercoplus.com/socket-amd-am4/11334-mainboard-gigabyte-b550-vision-d-wi-fi.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS PRIME B450M-A-II AM4 AMD,10,342.0,https://www.sercoplus.com/socket-amd-am4/11609-mainboard-asus-prime-b450m-a-ii-am4-amd.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD MSI A320M A PRO MAX AM4 AMD,20,177.84,https://www.sercoplus.com/socket-amd-am4/10969-mainboard-msi-a320m-a-pro-max.html
Sercoplus,MB,AM4,AM4,-,MAINBOARD B450 TOMAHAWK MAX AM4 AMD,19,516.8,https://www.sercoplus.com/mainboard-amd/11280-mainboard-b450-tomahawk-max-am4-amd.html
Sercoplus,CPU,LGA1200-10,I5,-,PROCESADOR INTEL CORE I5-10400F,20,570.0,https://www.sercoplus.com/cpu-1200-10ma-generacion/10848-procesador-intel-core-i5-10400f.html
Sercoplus,CPU,LGA1200-10,I3,-,PROCESADOR INTEL CORE I3-10100F,20,274.36,https://www.sercoplus.com/cpu-1200-10ma-generacion/11855-procesador-intel-core-i3-10100f.html
Sercoplus,CPU,LGA1200-10,I3,-,PROCESADOR INTEL CORE I3-10105F,20,307.04,https://www.sercoplus.com/cpu-1200-10ma-generacion/12303-procesador-intel-core-i3-10105f.html
Sercoplus,CPU,LGA1200-10,I3,-,PROCESADOR INTEL CORE I3-10105,20,484.5,https://www.sercoplus.com/cpu-1200-10ma-generacion/12716-procesador-intel-core-i3-10105.html
Sercoplus,CPU,LGA1200-10,I5,-,"PROCESADOR INTEL CORE I5-10400T, OEM",13,729.6,https://www.sercoplus.com/cpu-1200-10ma-generacion/12745-procesador-intel-core-i5-10400t-oem.html
Sercoplus,CPU,LGA1200-10,I3,-,"PROCESADOR INTEL CORE I3-10100T, OEM",8,494.0,https://www.sercoplus.com/cpu-1200-10ma-generacion/13463-procesador-intel-core-i3-10100t-oem.html
Sercoplus,CPU,LGA1200-11,I5,-,PROCESADOR INTEL CORE I5-11400F,20,680.2,https://www.sercoplus.com/cpu-1200-11va-generacion/12298-procesador-intel-core-i5-11400f.html
Sercoplus,CPU,LGA1200-11,I5,-,"PROCESADOR INTEL CORE I5-11400, OEM",20,752.4,https://www.sercoplus.com/cpu-1200-11va-generacion/13045-procesador-intel-core-i5-11400-oem.html
Sercoplus,CPU,LGA1700-12,i7,-,PROCESADOR INTEL CORE i7-12700F,20,1537.86,https://www.sercoplus.com/cpu-1700-12va-generacion/13373-procesador-intel-core-i7-12700f.html
Sercoplus,CPU,LGA1700-12,I3,-,PROCESADOR INTEL CORE I3-12100F,20,457.52,https://www.sercoplus.com/cpu-1700-12va-generacion/13387-procesador-intel-core-i3-12100f.html
