Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
CyC,GPU,-,-,12GB,MSI GEFORCE RTX 3060 12GB GDDR6 192BITS VENTUS 2X OC ,10,2022.3,https://cyccomputer.pe/nvidia-geforce-rtx/17395-msi-geforce-rtx-3060-12gb-gddr6-192bits-ventus-2x-oc-pn912-v397-483.html
CyC,GPU,-,-,12GB,MSI GEFORCE RTX 3060 12GB GDDR6 192BITS GAMING Z TRIO ,10,2181.06,https://cyccomputer.pe/nvidia-geforce-rtx/21424-msi-geforce-rtx-3060-12gb-gddr6-192bits-gaming-z-trio-pn912-v390-245.html
CyC,GPU,-,-,8GB,ZOTAC GAMING GEFORCE RTX 3050 8GB GDDR6 128BITS TWIN EDGE ,10,1886.22,https://cyccomputer.pe/nvidia-geforce-rtx/21242-zotac-gaming-geforce-rtx-3050-8gb-gddr6-128bits-twin-edge-pn9288-8n630-201z8.html
CyC,GPU,-,-,1GB,BIOSTAR GEFORCE G210 1GB DDR3 64BITS ,10,170.1,https://cyccomputer.pe/nvidia-geforce/20907-biostar-geforce-g210-1gb-ddr3-64bits-pnvn2103nhg6-sbarl-bs2.html
CyC,GPU,-,-,,"PROMO C&C : MSI RADEON RX 6600 XT MECH 2X OC - "" OBSEQUIO PROMOCIONAL MOUSE MSI CLUTCH GM08"" ",10,2022.3,https://cyccomputer.pe/amd-radeon/21354-promo-cc-msi-radeon-rx-6600-xt-mech-2x-oc-obsequio-promocional-mouse-msi-clutch-gm08-ref0-80109.html
CyC,GPU,-,-,8GB,MSI GEFORCE RTX 3070 8GB GDDR6 256BITS VENTUS 2X OC LHR ,10,3061.8,https://cyccomputer.pe/nvidia-geforce-rtx/21423-msi-geforce-rtx-3070-8gb-gddr6-256bits-ventus-2x-oc-lhr-pn912-v390-280.html
CyC,GPU,-,-,12GB,MSI GEFORCE RTX 3080 Ti 12GB GDDR6X 384BITS OC VENTUS 3X ,10,7011.9,https://cyccomputer.pe/nvidia-geforce-rtx/20226-msi-geforce-rtx-3080-ti-12gb-gddr6x-384bits-oc-ventus-3x-pn912-v389-059.html
CyC,GPU,-,-,4GB,MSI GEFORCE GTX 1050 Ti 4GB GDDR5 128BITS TWIN FROZR GAMING X ,10,1391.04,https://cyccomputer.pe/nvidia-geforce/7717-msi-geforce-gtx-1050-ti-4gb-gddr5-128bits-twin-frozr-gaming-x-pn912-v335-001.html
CyC,GPU,-,-,4GB,BOETEC GEFORCE GT740 4GB DDR3 128BITS,10,389.34,https://cyccomputer.pe/nvidia-geforce/21177-boetec-geforce-gt740-4gb-ddr3-128bits.html
CyC,GPU,-,-,12GB,ZOTAC GEFORCE RTX 3060 12GB GDDR6 192BITS TWIN EDGE ,10,2778.3,https://cyccomputer.pe/nvidia-geforce-rtx/20750-zotac-geforce-rtx-3060-12gb-gddr6-192bits-twin-edge-pn9288-7n630-401z8.html
CyC,GPU,-,-,12GB,MSI GEFORCE RTX 3080 Ti 12GB GDDR6X 384BITS GAMING X TRIO ,10,7371.0,https://cyccomputer.pe/nvidia-geforce-rtx/20225-msi-geforce-rtx-3080-ti-12gb-gddr6x-384bits-gaming-x-trio-pn912-v389-058.html
CyC,GPU,-,-,8GB,ZOTAC GEFORCE RTX 3070 Ti 8GB GDDR6X 256BITS TRINITY LHR ,10,4611.6,https://cyccomputer.pe/nvidia-geforce-rtx/20874-zotac-geforce-rtx-3070-ti-8gb-gddr6x-256bits-trinity-lhr-pn9288-1n653-501z8.html
CyC,GPU,-,-,,SUPPLY BOX : PNY GEFORCE RTX 3060 XLR8 OEM + FUENTE EVGA 700W 80PLUS WHITE + MOUSE PAD NVIDIA + ANTIVIRUS ,10,2173.5,https://cyccomputer.pe/nvidia-geforce-rtx/21411-supply-box-pny-geforce-rtx-3060-xlr8-oem-fuente-evga-700w-80plus-white-mouse-pad-nvidia-antivirus-ref0-81422.html
CyC,GPU,-,-,4GB,BIOSTAR RADEON RX560 4GB DDR5 128BITS GAMING ,10,1020.6,https://cyccomputer.pe/amd-radeon/20821-biostar-radeon-rx560-4gb-ddr5-128bits-gaming-pnva5615rf41-tbhra-bs2.html
CyC,GPU,-,-,4GB,GIGABYTE GEFORCE GTX 1050 TI 4GB GDDR5 128BITS OC ,10,982.8,https://cyccomputer.pe/nvidia-geforce/7690-gigabyte-geforce-gtx-1050-ti-4gb-gddr5-128bits-oc-pngv-n105toc-4gd.html
